job_id,title,core,role
1,영상콘텐츠 디자이너,"영상,모션,그래픽,디자인,graphic,asset,로고,인포그래픽,편집,영상컨텐츠,애프터이펙트,프리미어,모션그래픽,콘텐츠,컨텐츠","광고 콘텐츠,디자인물,A/B 테스트,크리에이티브,컨셉,비주얼,포토샵,일러스트,마케팅,캠페인,커뮤니케이션,최적화,프리미어,에프터이펙트,브랜드 아이덴티티,비주얼 콘텐츠,온라인 콘텐츠,시각화,그래픽 디자인,After Effects,C4D,모션그래픽,일러스트레이션,콘텐츠 디자이너,상세페이지,인디자인,배너,비주얼 기획,퍼블리싱,썸네일,Paid,Organic,Facebook,Instagram,google,naver,FBIG,비주얼 커뮤니케이션,정성,정량적,데이터,가이드라인,사용자 조사,데이터 분석,프로모션 디자인,컨텐츠 디자인,그래픽 에셋,피그마,Figma,Data-driven,디지털 마케팅,디지털 콘텐츠,켐페인,아이데이션,콘셉트 ,크리에이팅,카피라이팅,제안서,소셜미디어,주요업무 - Paid Channel 광고 콘텐츠, 디자인물 제작 - 웹앱의 전환 최적화를 위한 A/B 테스트 소재 제작 - 퍼포먼스 마케터와 광고 및 A/B 테스트 콘텐츠 관련 커뮤니케이션,콘텐츠 디자이너,콘텐츠 디자이너,[윙잇] 웹 콘텐츠 디자이너,콘텐츠 디자이너,콘텐츠 디자이너,디지털 콘텐츠 에디터"
2,네트워크 프로그래머,"철도차량,개발,wi,fi,vpn,ssl,네트워크,AP,Network,switch,Router,이동통신,5G,6G,무선랜,3GPP,802.11,브로드밴드,C++,네트워크,네트워크 프로그램,네트워크 프로그래밍,TCP/IP,Network switch,IPsec VPN, SSL VPN, IPS,방화벽","네트워크,시스템,SDN,OpenFlow,NetworkOS,embedded system,OS kernel drive,firmware,Paas,IaaS,Embedded,Ethernet,C/C++,Linux,네트워크 통신,광통신,스위치,보안 인프라,L2,L7,네트워크 솔루션,CISCO,WebRTC,Protocol,SIP ,Boost Library,IoT,제로데이,CVE,C,Python,리버스엔지니어링,arm,mips,OpenVPN,Ipsec,VPN,SSL,IPS,PQC,FW,Ddos,IDS,WIPS,ACL,Access Matrix,망연계,아키텍처,인프라 로킹,모니터링,Docker,SRE,방화벽,라우터,AWS,IAM,network Engineer,Trouble Shooting,CCNA,CCIE,정보처리기사,네트워크 구축,네트워크 컨설팅,네크워크 유지보수,Fortinet Firewall,Cisco Swithc,Router,Radware L4,네트워크 앱,CCNP,Radware,MCSE,CISP,CISSP,ISMS,ISO27001,보안심사,SDN,SD-WAN,Wifi6E,5G,GCP,Public Cloud,컨플루언스 ,R&S,TCP/IP,DHCP,DNS,RADIUS,VPC,DX,ALB,WireShark,Aruba,네트워크 개발,네트워크 장비 소프트웨어 개발,네트워크 엔지니어 (Network Engineer),네트워크 서버 개발자,IoT 기기 및 네트워크 취약점 점검,네트워크 보안 SW 개발,Security Engineer (네트워크보안 기술 담당),devops/시스템/네트워크/서버 관리자,정보보안실 - Network Engineer(네트워크 담당자),네트워크 엔지니어,네트워크 운영 담당,네트워크/시스템 엔지니어,네트워크 엔지니어 (3년 이상),네트워크 엔지니어,[IT Infra팀] 네트워크 엔지니어,[네트워크팀] 네트워크 엔지니어,백화점IS팀 네트워크,[컬리] 네트워크 운영 담당 (신입가능 ~ 5년 이하)"
3,브랜드디자이너,"IMC,내부대행사,전략,제품소싱,브랜드,홍보,마케팅,브랜드 마케팅,브랜드 디자인,네이밍","포트폴리오,패키지 디자인,인쇄 감리,인디자인,비주엘 에셋,브랜드 커뮤니케이션,브랜드 전략,브랜드 에센스,브랜드 아이덴티티,브랜드 디자인,디자인 컨셉보드,네이밍,Photoshop,Illustrator,BX,Brand Identity,BI ,타이포그래피,Adobe Creative,아이덴티티 구축,브랜드 가이드제작,디자인 퀄리티향상,운영성 디자인업무,시각적 커뮨케이션,언어적 커뮤니케이션,그래픽 디자인,컨셉 기획,기획,커머스 컨텐츠,상세페이지,배너,스마트스토어,일러스트,포토샵 ,프레젠테이션,아이디어,협업,신제품 디자인,리뉴얼 디자인,패키지 ,트렌드,트렌드 분석,디자인컨셉 기획,디자인 스튜디오,디자인 에이전시,프로세스 체계화,Figma,스케치,에펙,커뮤니케이션,디자인 툴,브랜드 구축,BX 디자인,브랜딩,브랜드 경험,아이덴티티 강화,비주얼에셋 개발,브랜드 이미지,브랜드이미지 구축,컨텐츠 디자인,화장품,이미지 구축,C4D,Octane,3D Max,3D 그래픽,리뉴얼 프로젝트,브랜드 비주얼,시각디자인,문제해결,문제해결 능력,트렌드,감각,크리에이티브,Premiere Pro,After Effects,프로모션 영상,편집 역량,Adobe 프로그램,영상 툴,플랫폼사업 브랜드,영상 디자인,심볼,로고,모션 에셋,Marketing,Social,Basic,고객 공감,고객 소통,광고,캠페인,브랜드 전략,웹디자인,공간디자인,제품디자인,PB상품,스테이셔너리,어플리케이션 ,어플리케이션 디자인,홈페이지,쇼룸,비주얼 제품,촬영,스튜디오 촬영,이벤트페이지,인스타그램,GIF 제작,클라이언트,클라이언트 커뮤니케이션,브랜드 리서치,디자인 디벨롭,아이덴티티 기획,모션그래픽 기술,MS Office,시장분석,시장조사,소비자트렌드 리서치,소비자 트렌드,비주얼 전략수립,인쇄 광고홍보물,POP,브로셔,브랜드 제안서,샘플링 양산,브랜드 BI,[닥터포헤어] 브랜드디자이너,브랜드디자이너,패키지 디자이너 모집,브랜드 디자이너(BX/BI) 경력 채용(서울지점),화장품 브래드 디자이너,라이프 브랜드 디자이너,뷰티 브랜드 디자이너,브랜드디자이너,브랜드 디자이너"
4,모바일 애플리케이션 프로그래머,"하이브리드,솔루션,js,바이너리,dex,mach,elf,난독화,셀프스튜디오,모바일,휴대폰,갤러리,반응형,백오피스,angular,설계,개발,플랫폼,신규,론칭,배포,개선,kotlin,jetpack,coroutine,aspnet,net,core,jscript,bootstrap,하이브리드,java,component,flutter,앱안드로이드,주문앱,포스앱,App,안드로이드,업데이트,네이티브,Android,iOS,Kotlin,swift,Swift,코틀린,모바일,iOS 개발,android 개발,SDK,안드로이드,iOS앱,REST,Reactive","Android,iOS,Native,앱,Client,Server,RESTful,Flutter,Application,유지보수,업데이트,Kotlin,코틀린,Google Play,Git,MVVM,테스트 자동화,오픈소스,문서 정리,클라우드호스피탈,배포,Swift,App store,인터페이스,개발코드,리뷰,Java,빌드,테스트,릴리스,Unit Test,React Native,Javascript,Typescript,React,GraphQL API,MSA,RPA,SDK,Objective-C,react-query,SWR,전역 상태관리,redux,zustand,zotai,valtio,react-tracked,Concurrent mode,suspense,context,Framer,Story book,Socket,Rx,Git ,CoreData,SwiftUI,TDD,RxSwift,모바일 앱 개발 (Android,iOS),안드로이드 모바일 앱 개발자,iOS 모바일 앱 개발자,모바일 앱 개발자(Android, iOS),모바일 앱(App)개발 개발자,모바일 개발자,모바일 SDK 엔지니어 (AOS,IOS),모바일 앱 개발자,[잔디] 모바일 iOS 개발,[플랫폼실] 모바일 iOS 개발"
5,산업 안전 및 위험 관리원,"환경 법규,산업안전보건,위험물","환경 법규,화학물질,현장 개선,허가체계,인허가,위험물,안전작업,안전법령,소방,산업안전보건,산업안전기사,사고 예방,사고 대응,법규 준수,규제 검토,공정안전관리,PSM,안전 관리자,위험물 안전관리자,산업 안전관리자,산업현장,산업안전,교통안전,산업재해,재발방지 대책,안전교육,안전 훈련,안전대책 수립,작업환경,광업,제조업,건설업,전기가스업,위험관리원,산업안전관리법,중대재해처벌법,안전관리,안전관리 업무,산업안전계획,산업안전계획 수립,원인 조사,원인 분석,전사 사업장,안전진단,점검,안전보건,현장 안전조치,안전조치,안전관리규정,안전관리규정 작성,위험성 평가,근로자 안전교육,적격보호구 지급관리,현장 이슈대응,안전관리자,산업안전지도사,산업안전산업기사,상담,방문,산업위생관리기사,보건관리자,화재예방,소방법규 준수,사고원인 조사,재발방지 조치,산업안전보건법,기계안전기술사,건설안전기술사,위험물산업기사,위험물기능사,위험물기능장,전기안전기술사,환경관리자,유해화학물질,화학공학,생명공학,SMS ,SMS 안전관리,화학물질 관리,인허가,법정업무,중대산업사고 사전예방,공학계열,위험물질 ,위험물질 취급,소방 관리업무,비상 시나리오,비상대응훈련,보건,환경,소방,현장관리자,시설관리,산업설비,전기,방사선안전관리,전기산업기사,PLC,전기 설비,유틸리티 유지,기계설비 관리,단독선로,변전실,변전실 설비,수변전 설비관리,계약전력전기,전기기사,토목공사,토목현장품질관리자,건설안전기사,건설안전산업기사,도시공학,산업공학,조경,신소재,전기설계,전기제어,기계설비장치 유지보수,개선 관리,설비 유지보수,건설현장 안전관리자(신입),산업안전관리자,[안전보건] 산업안전관리자,물류센터 산업안전관리자,위험물안전관리자(유해물질관리) ,한국통상(주)케이디아이탱크터미널 위험물 안전관리자 모집,위험물관리 담당 ,부산신항 물류센터 위험물안전전기 관리자 모집,전기안전관리자,안전관리자,건설안전,(주)신성산업 음성공장 전기안전관리자 ,식품제조업 공무팀 경력자 채용(기계, 전기, 냉동, 산업안전 등)"
6,인사 및 노무 사무원,"인사현황,급여관리,원천세,인사지원,채용,조직 문화,리쿠르팅,인사,노무,채용프로세스,근무환경,OKR,성과관리,경영지원","온보딩,OJT,채용프로세스,채용 채널,인사,인건비,조직 문화,복리후생,인터널 브랜딩,HR,리쿠르팅,커뮤니케이션,PPT,HR트랜드,평가,보상,채용,교육,노무,문서 작성,채용 진행,지원자 ,공고,서칭,면접진행,인적성검사,오리엔테이션,인재 서치,채용 프로세스,고도화,채용 마케팅,브랜딩,조직개발,HRM,인사전산시스템,ERP,노무관리,고충처리,노동법,급여관련,논리적 사고,보고서 작성,입사,퇴사,근태,인사시스템,직책,OKR,Payroll,법정교육,인허가,KPI,OKR,인사 제도,취업규칙,인사규정,근태,연차,법정의무교육,비품,자산,구매,제증명,[People&Culture] 인사 담당자,인사/총무,인사기획 및 운영,HR 인사담당자,HR 인사담당자,경영지원팀 인사 담당자,경영지원실(인사/총무),인사,노무,채용프로세스,근무환경,OKR,성과관리,경영지원"
7,인공지능프로그래머,"의료영상,Tensorflow,Pytorch,GAN,저널,컨퍼런스,대용량,Elasticsearch,자연어,자연어처리,NLP,MySQL,머신러닝,mlops,백엔드,python,Python,AI,딥러닝,인공지능,비전,deep,learning,generative,adversarial","컴퓨터 비전,자연어 처리,컴퓨터 비전,시스템공학,전기,전자공학,정보처리기사,데이터분석전문가,ADP,영상인식,멀티모달,오픈소스,논문,기술자료,수집,라벨링,학습,데이터 파이프라인,백엔드,기획자,Python,numpy,pandas,TensorFlow,Pytorch,오류역전파,최적화함수,활성화함수,과적합,EDA,데이터수집,딥러닝,머신러닝,알고리즘,text preprocessing,sentiment classification,emetion recognition,text generation,text style transfer,conversation management,multimodal Q&A,언어처리,챗봇,음성합성,변환,전처리,후처리,신호분리,화자인식,감정인식,상황인식,센서데이터,인식기술,Python,openCV,ROS,프로그래밍,네트워크,IoT,유사성,차별성,분석,트래픽,식별,판단,Deep Learning,Machine Learning,이미지,수치해석,DL,ML ,Modeling,분류,예측,이상징후,추천,로그,데이터 가공,SOTA,AI,프레임워크,이미지 생성,음성 인식,Torch,Caffe,Chainer,MZNet,Theano,논리적 사고,SAR,Docking,MD 시뮬레이션,Screening,Object Detection,YOLOP,Detectron2,API,Linux,OS,기계학습,파이썬,텐써플로우,지능형 ,인공지능연구원,인공지능 개발자,(전문연구요원 병역 특례 가능)인공지능 연구원 - 자연어처리,(전문연구요원 병역 특례 가능)인공지능 연구원 - 음성 및 오디오 처리,인공지능 알고리즘 연구,머신러닝/인공지능,머신러닝/인공지능,인공지능(A.I.) 개발자,인공지능 신약개발 연구원,인공지능 모델 개발자,인공지능 기술개발 및 연구"
8,웹디자이너,"디자인,포토샵,일러스트레이터,광고물,배너,html,css,웹에이전시,인디자인,포트폴리오,디자인,리플릿,쇼핑몰용,상세페이지,보정,콘텐츠,디자인썸네일,상세페이지광고,이벤트,페이지,사이트,웹사이트,웹 퍼블리싱,웹 접근성,웹 서비스 개발,웹 디자인,웹 개발,Photoshop,Figma,Illustrator,디자인툴","화면설계,프로토타입 제작,포토샵,이미지 합성,이미지 보정,웹 퍼블리싱,웹 접근성,웹 서비스 개발,웹 디자인,웹 개발,아이디어 스케치,상세페이지,그래픽 디자인,Photoshop,Illustrator,Figma,Adobe Creative,시각적 커뮤니케이션,팀워크,온라인 커머스,일러스트,마케팅,디자인,그래픽,UI,UX,패키징,소셜 미디어,광고 배너,SNS,홈페이지 관리,홈페이지 ,영상 편집,그로스해킹,카페24,식품 산업,디자인 툴,사이트 관리,SNS컨텐츠,카드뉴스,페이스북,프로모션,프로모션 페이지,컨텐츠 디자인,이커머스,서비스 플랫폼,디자이너,온라인 마켓,신규 서비스,운영 디자인,쇼핑몰,쇼핑몰 운영,마케팅 기힉력,디자인 에이전시,제품 촬영,HTML,CSS,Javascript,jqurey,퍼블리싱,인터페이스,프로그래밍,프로그래밍 언어,웹디자인 기능사,정보처리 자격증,GTQ,코딩,웹퍼블리셔,프리미어,피그마,반응형,반응형 웹,디바이스,브랜딩,기획,제작,관리,디지털미디어 컨텐츠,광고 디자인,사이트 디자인,퍼블리싱 가능자,웹사이트 운영,웹사이트 관리,브랜드 광고,래딩 프로모션,이벤트,상세페이지 기획,디자인 전공자,멀티미디어,콘텐츠제작,컴퓨터그래픽스운용기능사,모바일인터페이스 디자이너,웹 에이전시,쇼핑몰 디자이너,인공지능,XD,프로덕트 디자인,관리자,홍보디자인,배너디자인,상세디자인,대표디자인,일러스트레이터,운영업무,프로모션 디자인,모바밀 디자인,굿즈,패키지,인쇄물,제품 디자인,레이아웃,타이포그래피,BI,어도비 ,PB브랜드 개발,이미지 제작,이미지,Zeplin,협업 툴,모바일 앱,모바일 게임,마켓플레이스,페이지 디자인,프로모션 배너,프로모션배너 제작,마크업,미디어 콘텐츠,Artwork,BX 마케팅,BTL,편집툴,Retail,O2O,제품패키지 디자인,기획전,그래픽 애셋,온라인 기획전,기획전 페이지,웹 프론트엔드,Figma,웹디자이너,웹디자이너,웹디자이너 시니어,웹디자이너,웹디자이너,웹디자이너, 퍼블리싱, UI/UX,웹디자이너(계약직-1년),웹디자이너,이커머스 Ai SaaS UXUI 웹디자이너,웹디자이너,웹디자이너,웹디자이너,웹디자이너, 광고디자이너,위뜨(huit) 웹디자이너"
9,시스템엔지니어,"BSP,BLE,블루투스,MCU,STM,Linux,Kernel,Profiling,Core,Analog,Digital,BLE,sensor,압축,시스템소프트웨어,시스템반도체,시스템 엔지니어링,시스템 어플리케이션,Shell Script,임베디드 시스템","트러블슈팅,장애 대응,임베디드 시스템,유지 보수,시스템 엔지니어링,시스템 어플리케이션,Windows Servers,Windows,UBUNTU ,Trouble Shooting,Thermal Analysis,Shell Script,로그 분석,shell,NVIDIA JETSON,Middleware 프로그래밍,Linux,인프라 ,infra architecture,Embedded 소프트웨어,eclipse,C++,영업 파이프라인,파이프라인 개발,서버,스토리지,설치,기술 서비스,리포트작성,협력사관리,네트워크 최적화,컴퓨터,시스템공학,MSA 설계,DevOps 환경,클라우드 인프라,아키텍처 설계,개발 환경,시스템 퍼포먼스,보안 ,보안 이슈,인프라 아키텍쳐,설계 ,신기술 검토,OS 운영,System ,Tool 관리,Ansible,Shell script,Public Cloud ,Private Cloud ,인프라 운영,인프라 관리,클라우드 플랫폼,오픈스택,유닉스,S/W 기술지원,IT,IT교육,클라우드 환경,서비스 개발,서비스 운영,Prometheus,Grafana,모니터링 시스템,하드웨어,OSI Layer,스위치,라우터,LAN 구성,프로세스 개선,보안서비스,클라우드 보안서비스,리눅스,리눅스 서버,네트워크 보안장비,TCP,IP,Bash Shell,Python,Perl,스크립트 작성,쿠버네티스,리눅스마스터,정보처리기사,솔루션,솔루션 스킬,통계,모니터링,DB 운영,게임 서비스,인프라 구축,AWS 서비스,방화벽 관리,보안 설정,백업 정책,시스템 모니터링,Docker,DB 이중화,Python Script,Open Source Sofeware,Redhat Linux,Virtualization,재해복구 ,재해복구 시스템,백업 솔루션,SAN 스위치,유지관리,IT 인프라,장애 예방,온프레미스 환경,원격점검,기술지원,Zabbix,Grafana,GCP,AWS ,리눅스,CDN,APM,시스템운영 자동화,Kubernetes ,대용량 트래픽처리,트래픽 처리,E커머스,문제해결 능력,인프라관리 자동화,MySQL,Mssql,postgresql,시스템 엔지니어 (서버/스토리지),시스템 엔지니어 ,시스템 엔지니어 (System Engineer),[개발] 서버/시스템 엔지니어,게임 서버 퍼블리싱[시스템 엔지니어],시스템 엔지니어(SE),카드IS팀 시스템 엔지니어(인프라 구축/운영),시스템 엔지니어(SE),[빗썸] 시스템 엔지니어 (5년 이상)"
10,프론트엔드 개발자,"개발,서비스,웹사이트,vuex,redux,mobx,반응형,개발,nuxt,git,reactnextjs,openlayer,google,map,nuxtjs,cypress,javavuejs,sk,reactjs,vuejs,mvc,css,sass,API,ASPNET,MS,ASPNETC,WebForm,어드민,restful,front,end,플랫폼,JAVA,API,Javascript,SCSS,프론트,Vue,HTML,JQuery,JSP,MyBatis,ES6,백오피스,maven,Spring,json,XML,NoSQL,Flutter,웹개발,프론트엔드,frontend,front-end,react,vue,native,firebase,react-native,Next.js,Typescript,JavaScript,앱배포","react,테스트코드,유지보수,EMR,Vue,협업솔루션,Angular,시니어,IOS,안드로이드,Next.js,주니어,React-native,운영플랫폼,모노레포,구현,스토리보드,시나리오,벤치마킹,시스템,앱,웹,ERP,API,MVVM,프레임워크,기획,Git,slack,안정화,랜더링,최적화,하이브리드,Admin,SPA,Agile,AWS,Jenkins,컴포넌트,redux,인프라,Restful,mobx,Typescript,DB,flutter,풀스택,정보처리기사,SSR,Webpack,ES6,JavaScript,HTML5,CSS3,Node.js,WebRTC,UX,UI,유닛테스트,web Application,개발,github,gitlab,Notion,jira,IOT,Protocol,웹소켓,서버,통신,반응형,접근성,SEO,마크업,CSR,오픈소스,라이브러리,swift,Kotlin,브라우저,emotion.js,Turborepo,pnpm,Confluence,단위테스트,통합테스트,코드리뷰,페어코딩,Relay,GraphQL,yarn,빌드,배포,파이프라인,비동기호출,네트워크모듈,XHR,Web-Fetch,Atomic,Cloudfront,Rollup,three.js,d3.js,echart,task-runner,Recoil,상태관리,대시보드,canvas,Babel,ECMAScript,SQL,webQL,Mybatis,Prometheus,Grafana,JPA,시각화,saga,Firebase ,Sentry ,Storybook ,Lerna,확장성,아키텍쳐,자동화,Yona,Basecamp,블록체인,Django,Python,윈도우,Golang,Rust,분산시스템,네트워킹,프로젝트매니저,OAuth ,Docker,Kubernetes,SAAS,SDA,Java ,웹차트,SSR,AI,백오피스,자료구조,알고리즘,캐시,리액트(React) 프론트엔드(Front-End) 개발자 채용,[비즈하우스] 프론트엔드 개발자,백엔드, 서버, 프론트엔드, 악성코드/취약점분석, 코어개발자,[부민병원소속] EMR 프론트엔드/백엔드 개발자를 모십니다.,[GS ITM] Vue.js 개발자 모집,협업솔루션 프론트엔드(Vue.js) 개발 경력직 채용 공고,프론트엔드 신입/경력 개발자 채용 (Angular/React/Vue),[NFT 거래소] 시니어 프론트엔드 개발자,iOS 프론트엔드 개발자,안드로이드 프론트엔드 개발자,React/Next.js 프론트엔드 개발자 (2년 이상),프론트엔드 개발자(주니어),프론트엔드 개발자(React Native),운영플랫폼 프론트엔드 (Frontend) 엔지니어 "
